Code	Credits	Name	Description	Availability	Pre-requisites 1	Pre-requisites 2	Pre-requisites 3	Co-Requisites 1	Co-Requisites 2
BIO 120	3	Foundations of Biology I	A biological science course introducing the fundamentals of biology and essential structures, components, and processes of life. Emphasis placed on biochemistry; cell structure, function, organization, and division; sources and uses of biological energy; as well as genetics and inheritance.	SPRING, FALL				BIO 120L	
BIO 120L	1	Foundations of Biology I Laboratory	To present a study of the general characteristics and basic concepts of living organisms, which includes: the hierarchical organization of life, basic chemistry of life (inorganic and organic), cell types and structures, membrane structure and function, thermodynamics/energy flow, metabolic processes (photosynthesis & cellular respiration), the cell cycle, meiosis, and an introduction to genetics.	SPRING, FALL				BIO 120	
BIO 121	3	Foundations of Biology II	An introduction to organismal diversity, using the phylogenetic tree of life as an organizing theme. Emphasizes methods of phylogenetic reconstruction, current knowledge of the tree of life, and the evolution of life's most important and interesting innovations.	FALL, SPRING, SUMMER	BIO 120			BIO 121L	
BIO 121L	1	Foundations of Biology II Lab	An introduction to organismal diversity, using the phylogenetic tree of life as an organizing theme. Laboratories cover methods of phylogenetic reconstruction, current knowledge of the tree of life, and the evolution of life's most important and interesting innovations.	FALL, SPRING, SUMMER	BIO 120L			BIO 120	
BIO 140	3	Introduction to Environmental Science	An introductory course which stresses the interrelations of all aspects of the living and the nonliving world. Introduces the student to key concepts and principles that govern how nature works and the application of these concepts and principles to possible solutions to environmental and resource problems.	FALL, SPRING, SUMMER	BIO 142				
CEC 220	3	Digital Circuit Design	Knowledge and facility in logic design; interfacing digital circuits; Boolean algebra; combinational logic circuits; circuit minimization techniques; flip-flop storage elements; shift registers; counting devices; sequential logic circuits; state machines; computer structure.	FALL, SPRING				CEC 222	
CEC 222	1	Digital Circuit Design Laboratory	Laboratory experiments in the measurement and verification of digital circuits. Discrete and integrated logic circuit design analysis and measurements.	FALL, SPRING				CEC 220	
CEC 300	3	Computing in Aerospace and Aviation	Computer engineering aspects; embedded sensor and actuator controllers; high-performance computing systems for air traffic control and weather systems; critical design factors including technological, economic, social, and professional considerations; techniques and practices in database management, human-computer interaction, and system networks.	SPRING	EGR 115;CS 223				
CEC 315	3	Signals and Systems	Mathematical foundations used to analyze linear time-invariant systems. Graphical interpretation of differentiation and integration; the use of singularity functions; time-domain analysis through convolution, stability, and Fourier series. Development and evaluation of Fourier and Laplace transforms, including their inverses; application of these techniques to network analysis and the characterization of system behavior in the complex frequency domain.	SPRING	EGR 115;CS 223				
CEC 320	3	Microprocessor Systems	Microprocessor or microcontroller organizations and programming. Components of a current microprocessor or microcontroller family. Assembly language programming techniques for microprocessors or microcontrollers. General purpose input and output, serial communications, and other peripherals. Hardware and software relationships.	FALL, SPRING	CEC 220			CEC 322	
CEC 322	1	Microprocessor Systems Laboratory	Hands-on experience with a microprocessor is provided through weekly experiments involving hardware and software techniques.	FALL, SPRING	CEC 222			CEC 320	
CEC 450	3	Real-Time Embedded Systems	Overview of real-time embedded systems. Concepts of real-time systems from the user and designer viewpoint. Requirements, design, implementation, and basic properties of real-time embedded application software. Interrupts, concurrent task synchronization, sharing resources, and software reliability.	SPRING	CS 225	CEC 320			
CEC 470	3	Computer Architecture	The Von Neuman computer architecture, including processors, memory, input/output, and transfer of information; examples of machine language, assembly language, microprogramming, and operating systems. Advanced topics in computer architecture and computer systems.	FALL	CEC 320				
CHM 101	3	Basic Chemistry	This course is a study of elementary chemical theory. It covers basic atomic theory, elements, compounds, and mixtures, calculation of weight and weight volume relationships, basic descriptive chemistry and one 1.5 hour lab session per week. Cannot be used for credit in chemistry toward degrees in Aerospace or Electrical Engineering. Passing grade required for Lab.	FALL, SPRING, SUMMER				CHM 101L	
CHM 101L	0	Basic Chemistry Laboratory	One 1.5 hour laboratory session per week, with experiments related to the material of CHM 101.	FALL, SPRING, SUMMER				CHM 101	
